i,x,y
1588,5245,6989
1589,5262,7004
1590,5230,7033
1591,5254,6997
1592,5233,7040
1593,5232,7040
1594,5232,7040
1595,5244,6992
1596,5219,7020
1597,5197,7001
1598,5252,7005
1599,5254,6994
1600,5241,6982
1601,5223,7027
1602,5260,6999
1603,5229,7037
1604,5226,7033
1605,5229,7040
1606,5260,7026
1607,5250,7004
1608,5246,7040
1609,5233,7044
1610,5255,7005
1611,5245,7040
1612,5223,7023
1613,5253,6989
1614,5259,7031
1615,5240,7040
1616,5226,7040
1617,5250,7040
1618,5188,7005
1619,5273,7021
1620,5260,7031
1621,5224,7040
1622,5254,7007
1623,5230,7046
1624,5245,7044
1625,5226,7040
1626,5267,7026
1627,5274,7023
1628,5257,6988
1629,5252,6994
1630,5283,7009
1631,5250,7045
1632,5276,7023
1633,5250,7045
1634,5188,6997
1635,5260,7035
1636,5224,7044
1637,5250,7045
1638,5260,6988
1639,5277,7003
1640,5266,7030
1641,5286,7008
1642,5274,7027
1643,5249,7046
1644,5279,7023
1645,5187,6994
1646,5257,6993
1647,5286,7012
1648,5280,7023
1649,5286,7013
1650,5253,7049
1651,5260,7040
1652,5504,7356
1653,5497,7354
1654,5502,7365
1655,5512,7359
1656,5507,7347
1657,5497,7360
1658,5491,7354
1659,5497,7365
1660,5518,7359
1661,5508,7342
1662,5515,7353
